Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S34153027,Mallard,Anas platyrhynchos,483,2,US-FL,Pinellas,L127331,Boyd Hill Nature Park & Lake Maggiore,27.7248069,-82.6501069,2017-02-04,01:59 PM,eBird - Traveling Count,57,1,2.414,,1
S41171555,Mallard,Anas platyrhynchos,483,4,US-FL,Pinellas,L1818050,Bryan Dairy Rd Ponds including W Powell and surr. indust. area,27.8726085,-82.7372819,2017-12-16,10:36 AM,eBird - Traveling Count,83,1,6.276,,2,,,St Pete CBC with Bo Fethe.
S29274075,Mallard,Anas platyrhynchos,483,1,US-CA,San Bernardino,L892043,Harper Dry Lake,35.0106763,-117.2928223,2016-04-28,03:30 PM,eBird - Traveling Count,45,1,.322,,2,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44"
S29518592,Mallard,Anas platyrhynchos,483,2,US-CA,San Bernardino,L892043,Harper Dry Lake,35.0106763,-117.2928223,2016-05-08,03:45 PM,eBird - Traveling Count,200,1,4.828,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44"
S29518590,Mallard,Anas platyrhynchos,483,4,US-CA,San Bernardino,L892043,Harper Dry Lake,35.0106763,-117.2928223,2016-05-09,06:50 AM,eBird - Traveling Count,180,1,3.219,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44"
S30227827,Mallard,Anas platyrhynchos,483,1,US-CA,San Bernardino,L892043,Harper Dry Lake,35.0106763,-117.2928223,2016-06-13,04:24 PM,eBird - Traveling Count,3,1,1.609,,1,,,"<br />Submitted from eBird for iOS, version 1.2.1 Build 65"
S30319147,Mallard,Anas platyrhynchos,483,1,US-CA,San Bernardino,L892043,Harper Dry Lake,35.0106763,-117.2928223,2016-06-14,06:19 AM,eBird - Traveling Count,3,1,1.609,,1,,,"<br />Submitted from eBird for iOS, version 1.2.1 Build 65"
S30566131,Mallard,Anas platyrhynchos,483,2,US-CA,San Bernardino,L892043,Harper Dry Lake,35.0106763,-117.2928223,2016-07-05,05:31 PM,eBird - Traveling Count,3,1,3.219,,1,,,"<br />Submitted from eBird for iOS, version 1.2.1 Build 65"
S30566191,Mallard,Anas platyrhynchos,483,1,US-CA,San Bernardino,L892043,Harper Dry Lake,35.0106763,-117.2928223,2016-07-06,06:36 AM,eBird - Traveling Count,3,1,3.219,,1,,,"<br />Submitted from eBird for iOS, version 1.2.1 Build 65"
S26982851,Mallard,Anas platyrhynchos,483,15,US-CA,San Bernardino,L4172278,US-CA-Victorville-Mojave Narrows Reg Park - 34.5111x-117.2733,34.5111,-117.273278,2016-01-18,11:54 AM,eBird - Traveling Count,105,1,3.219,,1,,,"<br />Submitted from eBird for iOS, version 1.1.4 Build 34"
S30049130,Mallard,Anas platyrhynchos,483,4,US-CA,San Bernardino,L4614505,US-California-Helendale-27225 Helendale Rd - 34.746x-117.333,34.7458045,-117.3334758,2016-06-02,07:12 PM,eBird - Traveling Count,15,1,.322,,1,,,"<br />Submitted from eBird for iOS, version 1.2.1 Build 65"
S50717869,Mallard (Domestic type),Anas platyrhynchos (Domestic type),486,1,US-FL,Hillsborough,L8262898,"13154–13208 Summerfield Crossing Blvd, Riverview US-FL (27.7931,-82.3285)",27.793058,-82.328465,2018-12-16,01:26 PM,eBird - Stationary Count,4,1,,,3
S45245700,Mallard (Domestic type),Anas platyrhynchos (Domestic type),486,4,US-FL,Hillsborough,L7317356,"5002 Garrick Ct, Tampa US-FL (28.0724,-82.5315)",28.072427,-82.531531,2018-05-04,10:19 AM,eBird - Traveling Count,54,1,.805,,2
S49992839,Mallard (Domestic type),Anas platyrhynchos (Domestic type),486,6,US-FL,Hillsborough,L1203771,Ragan Park,27.9783471,-82.445333,2018-11-17,10:40 AM,eBird - Traveling Count,15,1,.402,,1
S60536264,Mallard (Domestic type),Anas platyrhynchos (Domestic type),486,20,US-FL,Hillsborough,L1203771,Ragan Park,27.9783471,-82.445333,2019-10-11,07:32 PM,eBird - Traveling Count,8,1,.322,,1
