Streak-backed Oriole,Icterus pustulatus,RR,
Spot-breasted Oriole,Icterus pectoralis,LC,
Nicaraguan Grackle,Quiscalus nicaraguensis,NE,
Golden-winged Warbler,Vermivora chrysoptera,,NT
Flame-throated Warbler,Oreothlypis gutturalis,NE,
Chiriqui Yellowthroat**,Geothlypis chiriquensis,NE,
Cerulean Warbler,Setophaga cerulea,,NT
Blackpoll Warbler,Setophaga striata,,NT
Black-cheeked Warbler,Basileuterus melanogenys,NE,
Costa Rican Warbler,Basileuterus melanotis,NE,
Collared Redstart,Myioborus torquatus,NE,
Wrenthrush,Zeledonia coronata,NE,
Flame-colored Tanager,Piranga bidentata,RR,
Black-cheeked Ant-Tanager,Habia atrimaxillaris,E,EN
Black-thighed Grosbeak,Pheucticus tibialis,NE,
Blue Seedeater,Amaurospiza concolor,LC,
Painted Bunting,Passerina ciris,LC,
White-throated Shrike-Tanager,Lanio leucothorax,NE,
Blue-and-gold Tanager,Bangsia arcaei,NE,NT
Spangle-cheeked Tanager,Tangara dowii,NE,
Plain-colored Tanager,Tangara inornata,RR,
Rufous-winged Tanager,Tangara lavinia,RR,
Sulphur-rumped Tanager,Heterospingus rubrifrons,NE,
Black-and-yellow Tanager,Chrysothlypis chrysomelas,NE,
Slaty Flowerpiercer,Diglossa plumbea,NE,
Slaty Finch,Spodiornis rustica,LC,
Peg-billed Finch,Acanthidops bairdi,NE,
Wedge-tailed Grass-Finch,Emberizoides herbicola,LC,
Ruddy-breasted Seedeater,Sporophila minuta,LC,
Nicaraguan Seed-Finch,Sporophila nuttingi,NE,
Yellow-bellied Seedeater,Sporophila nigricollis,LC,
Streaked Saltator,Saltator striatipectus,RR,
